epoch,step,train_loss_step
0,49,1.073655366897583
0,99,1.0623551607131958
0,149,0.7330335378646851
0,199,0.6842800378799438
0,249,0.760586678981781
0,299,0.5801297426223755
0,349,0.6660610437393188
0,399,0.5260372161865234
0,449,0.5622467994689941
0,499,0.564002275466919
0,549,0.5128021240234375
0,599,0.4737819731235504
0,649,0.49342527985572815
0,699,0.4807051420211792
0,749,0.4748530685901642
0,799,0.5218861699104309
0,849,0.47788742184638977
0,899,0.4924597442150116
0,949,0.5076016187667847
0,999,0.4551001787185669
0,1049,0.5857913494110107
0,1099,0.5170436501502991
0,1149,0.5110373497009277
0,1199,0.52028489112854
0,1249,0.46402832865715027
0,1299,0.5181653499603271
0,1349,0.48150455951690674
0,1399,0.5109028220176697
0,1449,0.46330589056015015
0,1499,0.5425500869750977
0,1549,0.44636300206184387
0,1599,0.6043068170547485
0,1649,0.5138479471206665
0,1699,0.4491555094718933
0,1749,0.5060486793518066
0,1799,0.4893253445625305
0,1849,0.516238272190094
0,1899,0.45151200890541077
0,1949,0.4799635410308838
0,1999,0.4034724831581116
0,2049,0.4964275360107422
0,2099,0.4244096279144287
0,2149,0.4883890151977539
0,2199,0.46626830101013184
0,2249,0.43901363015174866
0,2299,0.479545533657074
0,2349,0.42047542333602905
0,2399,0.505247950553894
0,2449,0.4681719243526459
0,2499,0.44553691148757935
0,2549,0.4192879796028137
0,2599,0.4390479624271393
0,2649,0.5190143585205078
0,2699,0.4455927610397339
0,2749,0.4367235004901886
0,2799,0.49257707595825195
0,2849,0.4499131739139557
0,2899,0.43237578868865967
0,2949,0.5012093782424927
0,2999,0.3975737690925598
0,3049,0.41161078214645386
